Date,AAPL,AMD,AMZN,CRM,GOOGL,INTC,META,MSFT,NVDA,TSLA
2015-12-07,26.66846466064453,2.359999895095825,33.49150085449219,79.84015655517578,38.384761810302734,27.653095245361328,104.96292877197266,48.867820739746094,0.80763840675354,15.408666610717773
2015-12-08,26.657188415527344,2.390000104904175,33.86650085449219,80.2359848022461,38.491519927978516,27.46341896057129,105.83753204345703,48.85030746459961,0.8186148405075073,15.114666938781738
2015-12-09,26.06871795654297,2.3499999046325684,33.239498138427734,78.88024139404297,37.866329193115234,27.510841369628906,103.95912170410156,48.14106750488281,0.7978813052177429,14.968000411987305
2015-12-10,26.192726135253906,2.450000047683716,33.11600112915039,78.55367279052734,37.74169158935547,27.479230880737305,104.77409362792969,48.39500045776367,0.8044673204421997,15.137999534606934
2015-12-11,25.51857566833496,2.359999895095825,32.00749969482422,76.06980895996094,37.26398468017578,27.084068298339844,101.49430847167969,47.335506439208984,0.7925149202346802,14.468000411987305
2015-12-14,25.36074447631836,2.3399999141693115,32.89550018310547,76.18856048583984,37.8658332824707,27.24213409423828,104.01876831054688,48.28116226196289,0.7944663763046265,14.571999549865723
2015-12-15,24.912063598632812,2.359999895095825,32.93199920654297,76.5645980834961,37.744171142578125,27.803247451782227,103.90943145751953,48.333717346191406,0.8042231798171997,14.739333152770996
2015-12-16,25.10371208190918,2.5399999618530273,33.78850173950195,78.06878662109375,38.56352615356445,27.89809226989746,106.13571166992188,49.14802551269531,0.8091018795967102,15.633999824523926
2015-12-17,24.571603775024414,2.559999942779541,33.532501220703125,77.61357116699219,38.22784423828125,27.589868545532227,105.56919860839844,48.77151107788086,0.796905517578125,15.559332847595215
2015-12-18,23.90646743774414,2.450000047683716,33.207000732421875,76.22814178466797,37.583282470703125,26.767946243286133,103.40255737304688,47.39680099487305,0.7839775085449219,15.36400032043457
2015-12-21,24.1995792388916,2.5299999713897705,33.22549819946289,76.48543548583984,37.77943420410156,27.060361862182617,104.1280746459961,48.009727478027344,0.8025157451629639,15.503999710083008
2015-12-22,24.17702865600586,2.7699999809265137,33.157501220703125,77.04951477050781,38.09375762939453,27.44761848449707,104.8635482788086,48.465049743652344,0.8032476902008057,15.329999923706055
2015-12-23,24.488178253173828,2.8299999237060547,33.185001373291016,77.22763061523438,38.162288665771484,27.660999298095703,103.98894500732422,48.8765869140625,0.8064185976982117,15.313332557678223
2015-12-24,24.35740852355957,2.9200000762939453,33.13949966430664,77.01982116699219,38.02970504760742,27.645193099975586,104.37655639648438,48.7452507019043,0.8091018795967102,15.371333122253418
2015-12-28,24.0845947265625,3.0,33.7599983215332,77.3859634399414,38.84408950805664,27.605676651000977,105.28097534179688,48.99040222167969,0.8083699941635132,15.263333320617676
2015-12-29,24.51749038696289,3.0,34.69850158691406,78.6130599975586,39.42607498168945,28.00874137878418,106.60283660888672,49.515769958496094,0.8215422630310059,15.812666893005371
2015-12-30,24.19731903076172,2.9800000190734863,34.45349884033203,78.31617736816406,39.24432373046875,27.653095245361328,105.56919860839844,49.305625915527344,0.8144682049751282,15.87266731262207
2015-12-31,23.732864379882812,2.869999885559082,33.794498443603516,77.58389282226562,38.634033203125,27.226327896118164,104.01876831054688,48.57887649536133,0.8039791584014893,16.000667572021484
2016-01-04,23.753150939941406,2.7699999809265137,31.84950065612793,75.9114761352539,37.71189880371094,26.86277961730957,101.59370422363281,47.98346710205078,0.789587676525116,14.894000053405762
2016-01-05,23.157915115356445,2.75,31.68950080871582,76.2479476928711,37.8156852722168,26.736328125,102.10057830810547,48.20235061645508,0.8022720813751221,14.895333290100098
2016-01-06,22.7047176361084,2.509999990463257,31.63249969482422,75.49585723876953,37.7064323425293,26.143590927124023,102.339111328125,47.326751708984375,0.7690978646278381,14.602666854858398
2016-01-07,21.746477127075195,2.2799999713897705,30.39699935913086,73.52656555175781,36.79621505737305,25.163604736328125,97.3200454711914,45.680599212646484,0.7386071681976318,14.376667022705078
